Статистика по данным Яндекс WORDSTAT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата;человеческий фактор;human factor;человеческий фактор;human factor;человек-машина;human-machine;человек-машина;human-machine;инженерная психология;engineering psychology;инженерная психология;engineering psychology;инженер-психолог;psychologist;инженер-психолог;psychologist;оператор систем управления;system operator;оператор систем управления;system operator;безопасность труда;"safe work
";безопасность труда;"safe work
";охрана труда;Occupational Safety and Health;охрана труда;occupational Safety and Health;управление производственного риска;occupational risk;управление производственного риска;occupational risk;эргономика;ergonomics;эргономика;ergonomics;психология труда;labor psychology;психология труда;labor psychology;профессиональный коллектив;professional team;профессиональный коллектив;professional team;оператор коллектива; team operator;оператор коллектива; team operator;инженерное образование;engineering education;инженерное образование;engineering education;инженер-эргономист;ergonomic engineer;;;;
01.09.2017 - 30.09.2017;0,000002308171;0,000000082151;20;18;0,000011279239;0,000000216566;24;15;0,000000340823;0,000000002650;9;4;0,000000010600;0,000000514546;9;3;0,000000011042;0,000000042253;21;14;0,000013875968;0,000000067134;18;19;0,000142677891;0,000000034892;16;19;0,000000054914;0,000000005447;14;7;0,000004085012;0,000000114393;19;2;0,000001263325;0,000000000000;17;14;0,000000497910;0,000000042842;15;15;0,000000005447;0,000000000000;10;18;0,000000572994;0,000000055945;17;10;0,000000000000;0,000000000000;;;;
01.10.2017 - 31.10.2017;0,000002969627;0,000000093497;3;13;0,000011740811;0,000000184065;23;22;0,000000314248;0,000000005987;15;1;0,000000009299;0,000000439718;14;9;0,000000013885;0,000000035284;16;22;0,000014344600;0,000000060888;17;23;0,000147809049;0,000000033374;15;20;0,000000058340;0,000000004586;13;14;0,000004336168;0,000000114006;14;3;0,000001411124;0,000000000000;9;14;0,000000555253;0,000000045348;9;13;0,000000006751;0,000000000000;2;18;0,000000601747;0,000000069295;11;3;0,000000001401;0,000000000000;;;;
01.11.2017 - 30.11.2017;0,000002460869;0,000000096014;14;11;0,000012192973;0,000000184026;14;23;0,000000410898;0,000000003226;1;3;0,000000009808;0,000000380958;13;16;0,000000013421;0,000000036650;17;21;0,000015267736;0,000000069171;14;18;0,000154031620;0,000000038715;11;15;0,000000060783;0,000000003742;7;17;0,000004313134;0,000000127760;15;1;0,000001430011;0,000000000000;6;14;0,000000543175;0,000000046716;11;11;0,000000005549;0,000000000000;8;18;0,000000678420;0,000000058460;2;9;0,000000001161;0,000000000000;;;;
01.12.2017 - 31.12.2017;0,000002541046;0,000000081153;11;20;0,000012316363;0,000000211334;12;18;0,000000386543;0,000000002322;3;6;0,000000005161;0,000000395962;24;13;0,000000016386;0,000000039609;12;16;0,000014387905;0,000000070316;16;17;0,000137960657;0,000000040125;20;13;0,000000058446;0,000000004000;11;15;0,000004632586;0,000000099216;8;6;0,000001520499;0,000000000000;3;14;0,000000497501;0,000000050705;16;5;0,000000006193;0,000000000000;4;18;0,000000614263;0,000000062188;8;7;0,000000000774;0,000000000000;;;;
01.01.2018 - 31.01.2018;0,000002418389;0,000000073251;16;21;0,000012170791;0,000000339639;16;4;0,000000325586;0,000000002239;12;7;0,000000008581;0,000000305314;17;21;0,000000014675;0,000000030594;15;23;0,000013530963;0,000000080961;19;9;0,000136514723;0,000000027858;21;24;0,000000051114;0,000000002736;17;20;0,000003856911;0,000000099491;21;5;0,000001331693;0,000000000000;14;14;0,000000472584;0,000000038802;18;19;0,000000003980;0,000000000000;19;18;0,000000670075;0,000000046015;4;19;0,000000000000;0,000000000000;;;;
01.02.2018 - 28.02.2018;0,000006582097;0,000000098828;1;9;0,000011890646;0,000000358797;21;3;0,000000321534;0,000000001620;13;11;0,000000005733;0,000000373627;22;17;0,000000021685;0,000000043868;8;12;0,000015272733;0,000000082128;13;8;0,000158374615;0,000000040129;9;12;0,000000059072;0,000000002617;9;21;0,000003900904;0,000000095712;20;7;0,000001172851;0,000000000000;20;14;0,000000480930;0,000000053090;17;3;0,000000006107;0,000000000623;6;8;0,000000673726;0,000000067796;3;5;0,000000001496;0,000000000000;;;;
01.03.2018 - 31.03.2018;0,000002432353;0,000000093552;15;12;0,000012188496;0,000000308422;15;5;0,000000311879;0,000000001843;16;10;0,000000010715;0,000000361996;8;18;0,000000017167;0,000000041591;11;15;0,000015816518;0,000000154038;11;1;0,000157409509;0,000000042283;10;5;0,000000060947;0,000000005991;6;4;0,000004278163;0,000000080072;16;10;0,000001320674;0,000000000000;15;14;0,000000508430;0,000000065210;14;1;0,000000003802;0,000000000576;21;10;0,000000581359;0,000000045624;16;20;0,000000001152;0,000000000000;;;;
01.04.2018 - 30.04.2018;0,000002531147;0,000000090339;12;16;0,000012326288;0,000000236162;11;9;0,000000331498;0,000000001922;11;9;0,000000008201;0,000000447849;18;8;0,000000024218;0,000000046130;3;9;0,000019877187;0,000000116735;1;3;0,000200100039;0,000000049975;1;2;0,000000064839;0,000000003972;5;16;0,000004142634;0,000000069708;18;17;0,000001371994;0,000000000000;11;14;0,000000612765;0,000000059329;6;2;0,000000003460;0,000000000000;23;18;0,000000624298;0,000000051640;7;14;0,000000001153;0,000000000000;;;;
01.05.2018 - 31.05.2018;0,000002802954;0,000000100115;7;5;0,000011836918;0,000000188732;22;21;0,000000375915;0,000000001163;4;13;0,000000010334;0,000000472541;10;5;0,000000026611;0,000000048572;2;6;0,000019340097;0,000000121946;2;2;0,000165545563;0,000000046505;4;4;0,000000093656;0,000000006201;1;2;0,000004514334;0,000000059035;9;21;0,000001617208;0,000000000000;1;14;0,000000621745;0,000000048184;5;9;0,000000005296;0,000000000000;11;18;0,000000612444;0,000000054256;10;11;0,000000001679;0,000000000000;;;;
01.06.2018 - 30.06.2018;0,000002366344;0,000000100925;19;4;0,000011927885;0,000000225926;20;13;0,000000311313;0,000000000000;17;20;0,000000014838;0,000000352327;2;19;0,000000023097;0,000000048013;5;7;0,000019153318;0,000000103025;3;5;0,000159752086;0,000000039474;8;14;0,000000066210;0,000000005179;4;10;0,000004655560;0,000000077408;7;12;0,000001349957;0,000000000000;12;14;0,000000538079;0,000000042834;12;16;0,000000004199;0,000000000000;18;18;0,000000632705;0,000000045213;5;21;0,000000002100;0,000000000000;;;;
